method,val_pr_auc,val_roc_auc
RF_only,0.7243155579961363,0.9598320699189058
CatBoost_only,0.8664708932841069,0.9842883689915886
Soft_voting,0.8664708932841069,0.9842883689915886
Stacking,0.8557245214475254,0.9838641331167874
